method,maxsize,instance,time,objective
mincut,30,N-t75k11xx_150,3.0951218605041504,1425603
mincut,30,N-t75n11xx_150,3.189563512802124,1636167
mincut,30,N-tiw56n54_150,3.38883113861084,790512
mincut,30,N-tiw56n58_150,3.4267446994781494,1082588
mincut,30,N-tiw56n62_150,3.512883424758911,1512522
mincut,30,N-tiw56n66_150,3.556685447692871,1974986
mincut,30,N-tiw56n67_150,3.540847063064575,2224724
mincut,30,N-tiw56n72_150,3.638628482818604,3850496
mincut,30,N-tiw56r54_150,3.292964220046997,908482
mincut,30,N-tiw56r58_150,3.488171100616455,1142952
mincut,30,N-tiw56r66_150,3.527108192443848,1807841
mincut,30,N-tiw56r67_150,3.57152795791626,1939741
mincut,30,N-tiw56r72_150,3.5402278900146484,2653706
mincut,40,N-be75eec_150,3.3299148082733154,3282648
mincut,40,N-be75np_150,3.567140579223633,6818383
mincut,40,N-be75oi_150,2.727332830429077,2185805
mincut,40,N-be75tot_150,3.8152668476104736,11560522
mincut,40,N-stabu1_150,4.081427812576294,2730456
mincut,40,N-stabu2_150,3.6279280185699454,4087909
mincut,40,N-stabu3_150,3.8451836109161377,4265187
mincut,40,N-t59b11xx_150,2.862363815307617,3040625
mincut,40,N-t59d11xx_150,3.2313830852508545,1360832
mincut,40,N-t59f11xx_150,3.9724504947662354,1432933
mincut,40,N-t59n11xx_150,2.699535131454468,301810
mincut,40,N-t65b11xx_150,3.522759199142456,6099458
mincut,40,N-t65d11xx_150,3.4103360176086426,3317576
mincut,40,N-t65f11xx_150,3.575267791748047,2966352
mincut,40,N-t65l11xx_150,1.6426827907562256,244054
mincut,40,N-t65n11xx_150,3.260486364364624,524444
mincut,40,N-t69r11xx_150,2.9353201389312744,11153837
mincut,40,N-t70b11xx_150,3.2045328617095947,9183941
mincut,40,N-t70d11xn_150,4.369433879852295,5470282
mincut,40,N-t70d11xx_150,4.0379252433776855,5799893
mincut,40,N-t70f11xx_150,3.33510971069336,4832202
mincut,40,N-t70l11xx_150,1.8669712543487549,417320
mincut,40,N-t70n11xx_150,3.321918487548828,898791
mincut,40,N-t74d11xx_150,3.701831817626953,8792905
mincut,40,N-t75d11xx_150,4.536815404891968,9040535
mincut,40,N-t75e11xx_150,3.9472153186798096,39539603
mincut,40,N-t75k11xx_150,3.2140283584594727,1431498
mincut,40,N-t75n11xx_150,3.289490222930908,1644756
mincut,40,N-tiw56n54_150,3.624293327331543,793432
mincut,40,N-tiw56n58_150,4.127501487731934,1085479
mincut,40,N-tiw56n62_150,4.114125967025757,1519228
mincut,40,N-tiw56n66_150,3.6408321857452393,1993602
mincut,40,N-tiw56n67_150,3.68147087097168,2229483
mincut,40,N-tiw56n72_150,3.777745962142944,3877739
mincut,40,N-tiw56r54_150,3.4420254230499268,909830
mincut,40,N-tiw56r58_150,4.650247097015381,1147983
mincut,40,N-tiw56r66_150,4.003838777542114,1820812
mincut,40,N-tiw56r67_150,3.932724475860596,1942173
mincut,40,N-tiw56r72_150,3.836179494857788,2659679
mincut,50,N-be75eec_150,3.5518741607666016,3305741
mincut,50,N-be75np_150,5.850035190582275,6833240
mincut,50,N-be75oi_150,3.016186475753784,2186964
mincut,50,N-be75tot_150,5.676526308059692,11635765
mincut,50,N-stabu1_150,6.986914157867432,2742030
mincut,50,N-stabu2_150,7.661244630813599,4099897
mincut,50,N-stabu3_150,5.537243843078613,4278283
mincut,50,N-t59b11xx_150,6.363859415054321,3056925
mincut,50,N-t59d11xx_150,14.751902103424072,1362833
mincut,50,N-t59f11xx_150,25.227693557739254,1437715
mincut,50,N-t59n11xx_150,3.133523464202881,303878
mincut,50,N-t65b11xx_150,5.248629331588745,6150864
mincut,50,N-t65d11xx_150,8.216139078140259,3334661
mincut,50,N-t65f11xx_150,4.727461099624634,2986789
mincut,50,N-t65l11xx_150,1.878861427307129,245340
mincut,50,N-t65n11xx_150,4.310612201690674,526800
mincut,50,N-t69r11xx_150,3.422231912612915,11228204
mincut,50,N-t70b11xx_150,5.6488037109375,9219229
mincut,50,N-t70d11xn_150,6.235722780227661,5520394
mincut,50,N-t70d11xx_150,8.5241858959198,5847322
mincut,50,N-t70f11xx_150,6.587939977645874,4837683
mincut,50,N-t70l11xx_150,2.445490837097168,417823
mincut,50,N-t70n11xx_150,3.5589632987976074,902692
mincut,50,N-t74d11xx_150,9.434196710586548,8829912
mincut,50,N-t75d11xx_150,5.933769226074219,9099350
mincut,50,N-t75e11xx_150,5.340480327606201,39603332
mincut,50,N-t75k11xx_150,5.929295778274536,1444496
mincut,50,N-t75n11xx_150,3.762416124343872,1657289
mincut,50,N-tiw56n54_150,11.21584153175354,794674
mincut,50,N-tiw56n58_150,10.3165283203125,1090673
mincut,50,N-tiw56n62_150,21.1641538143158,1524819
mincut,50,N-tiw56n66_150,5.424784660339356,1997660
mincut,50,N-tiw56n67_150,9.872812509536743,2237978
mincut,50,N-tiw56n72_150,4.3501973152160645,3901045
